"event_nr";"event_text_raw";"event_text_processed";"rule_nr";"rule_name";"location";"start_day";"start_month";"start_year";"end_day";"end_month";"end_year";
142;"If, however, the individual was subject to tax at a higher rate (known as ""surtax""), he (not the company) would be liable to pay the additional tax.";;;;;;;;;;;
143;"In addition to income tax, companies were also subject to a profits tax, introduced by Labour Chancellor Sir Stafford Cripps, which was deducted from company profits when determining the income tax liability.";;;;;;;;;;;
144;"It was a differential tax, with a higher tax rate on dividends (profits distributed to shareholders) than on profits retained within the company.";;;;;;;;;;;
145;"By penalising the distribution of profits, it was hoped companies would retain profits for investment, which was considered a priority after the Second World War.";;;;;;;;;;;
146;"The tax did not have the desired effect, so the distributed profits tax was increased by 20% by the post-war Labour government, in an attempt to coerce companies into retaining more of their profits.";;;;;;;;;;;
147;"At the time of Hugh Gaitskell's 1951 budget, the profits tax was 50% for distributed profits and 10% for undistributed profits.";"At the time of Hugh Gaitskell's 1951 budget, the profits tax was 50% for distributed profits and 10% for undistributed profits.";;;;;;1951;;;;
148;"A series of reductions in the profits tax were brought in from 1951 onwards by the new Conservative government.";"A series of reductions in the profits tax were brought in from 1951 onwards by the new Conservative government.";;;;;;1951;;;;
149;"The tax rates fell to 22.5% on distributed profits and 2.5% on undistributed profits by 1957, but the profits tax was no longer income tax-deductible.";"The tax rates fell to 22.5% on distributed profits and 2.5% on undistributed profits by 1957, but the profits tax was no longer income tax-deductible.";;;;;;1957;;;;
150;"Derick Heathcoat-Amory's Budget of March 1958 replaced the differential profits tax with a single profits tax measure, applicable to both retained and distributed profits.";"Derick Heathcoat-Amory's Budget of March 1958 replaced the differential profits tax with a single profits tax measure, applicable to both retained and distributed profits.";;;;;3;1958;;;;
151;"This gradual decrease, and final abolition, of taxes on capital distributions reflected ideological differences between the Conservative and Labour parties: the Conservative approach was to distribute profits to capital holders for investment elsewhere, while Labour sought to force companies to retain profits for reinvestment in the company in the hope this would benefit the company's workforce.";;;;;;;;;;;
152;"The Industrial Revolution in Germany was about a century later than in England, France and Belgium because Germany only became a unified country in the late 19th century.";"The Industrial Revolution in Germany was about a century later than in England, France and Belgium because Germany only became a unified country in the late 19th century.";;;;;;1900;;;;
153;"The establishment of the Deutscher Zollverein (German Customs Union) and the expansion of railway systems were the main drivers of Germany's industrial revolution and political union.";;;;;;;;;;;
154;"In 1834, tariff barriers between German states were eliminated.";"In 1834, tariff barriers between German states were eliminated.";;;;;;1834;;;;
155;"In 1835, the first German railway was constructed linking the Saxon cities of Dresden and Leipzig and it proved so successful that the decade of the 1840s was one of ""railway mania"" in all the German states.";"In 1835, the first German railway was constructed linking the Saxon cities of Dresden and Leipzig and it proved so successful that the decade of the 1840s was one of railway mania in all the German states.";;;;;;1835;;;;
156;"Between 1845 and 1870, 5,000 more miles of rail had been built and in 1850 Germany was building its own locomotives.";"Between 1845 and 1870, 5,000 more miles of rail had been built and in 1850 Germany was building its own locomotives.";;;;;;1845;;;1870;1850
157;"Over time, other German states joined the customs union and started linking their railroads, which began to connect the corners of Germany together. ";;;;;;;;;;;
158;"The creation of free trade and a rail system across Germany intensified economic development which opened up new markets for local products, created a pool of middle managers, increased the demand for engineers, architects and skilled machinists and stimulated investments in coal and iron.";;;;;;;;;;;
159;"Another factor which propelled German industry forward was the unification of the monetary system, made possible in part by political unification.";;;;;;;;;;;
160;"The Deutsche Mark was introduced in 1871, a new monetary coinage system backed by gold.";"The Deutsche Mark was introduced in 1871, a new monetary coinage system backed by gold.";;;;;;1871;;;;
161;"The victory of Prussia over Napoleon III in the Franco-Prussian War marked the end of French hegemony in Europe and resulted in the creation of the German Empire in 1871.";"The victory of Prussia over Napoleon III in the Franco-Prussian War marked the end of French hegemony in Europe and resulted in the creation of the German Empire in 1871.";;;;;;1871;;;;
162;"The establishment of the empire inherently presented Europe with the reality of a new populous and industrializing polity possessing a considerable, and undeniably increasing, economic and diplomatic presence. ";;;;;;;;;;;
163;"The influence of French economic principles produced important institutional reforms in Germany, including the abolition of feudal restrictions on the sale of large landed estates, the reduction of the power of the guilds in the cities, and the introduction of a new, more efficient commercial law.";;;;;;;;;;;
164;"Nonetheless, political decisions about the economy of the empire were still largely controlled by a coalition of ""rye and iron"", that is the Prussian Junker landowners of the east and the Ruhr heavy industry of the west.";;;;;;;;;;;
165;"Regarding politics and society, between 1881 and 1889 Chancellor Otto von Bismarck promoted laws that provided social insurance and improved working conditions.";"Regarding politics and society, between 1881 and 1889 Chancellor Otto von Bismarck promoted laws that provided social insurance and improved working conditions.";;;;;;1881;;;1889;
166;"He instituted the world's first welfare state.";;;;;;;;;;;
167;"Germany was the first to introduce social insurance programs including universal healthcare, compulsory education, sickness insurance, accident insurance, disability insurance, and a retirement pension.";;;;;;;;;;;
168;"Moreover, the government's universal education policy bore fruit with Germany having the highest literacy rate in the world – 99% – education levels that provided the nation with more people good at handling numbers, more engineers, chemists, opticians, skilled workers for its factories, skilled managers, knowledgeable farmers and skilled military personnel.";;;;;;;;;;;
169;"By 1900, Germany surpassed Britain and the United States in steel production.";"By 1900, Germany surpassed Britain and the United States in steel production.";;;;;;1900;;;;
170;"The German economic miracle was also intensified by an unprecedented population growth from 35 million in 1850 to 67 million in 1913.";"The German economic miracle was also intensified by an unprecedented population growth from 35 million in 1850 to 67 million in 1913.";;;;;;1850;;;1913;
171;"From 1895 to 1907, the number of workers engaged in machine building doubled from half a million to well over a million.";"From 1895 to 1907, the number of workers engaged in machine building doubled from half a million to well over a million.";;;;;;1895;;;1907;
172;"Only 40 percent of Germans lived in rural areas by 1910, a drop from 67% at the birth of the empire.";"Only 40 percent of Germans lived in rural areas by 1910, a drop from 67% at the birth of the empire.";;;;;;1910;;;;
173;"Industry accounted for 60 percent of the gross national product in 1913.";"Industry accounted for 60 percent of the gross national product in 1913.";;;;;;1913;;;;
174;"The German chemical industry became the most advanced in the world, and by 1914 the country was producing half the world's electrical equipment.";"The German chemical industry became the most advanced in the world, and by 1914 the country was producing half the world's electrical equipment.";;;;;;1914;;;;
175;"The rapid advance to industrial maturity led to a drastic shift in German economic situation, from a rural economy into a major exporter of finished goods. ";;;;;;;;;;;
176;"The ratio of finished product to total export jumped from 38% in 1872 to 63% in 1912.";"The ratio of finished product to total export jumped from 38% in 1872 to 63% in 1912.";;;;;;1872;;;1912;
177;"By 1913, Germany came to dominate all the European markets.";"By 1913, Germany came to dominate all the European markets.";;;;;;1913;;;;
178;"The Nazis rose to power while unemployment was very high,but achieved full employment later thanks to massive public works programs such as the Reichsbahn, Reichspost and the Reichsautobahn projects.";;;;;;;;;;;
179;"The earliest known use of the term ""Business Intelligence"" is in Richard Millar Devens’ in the ‘Cyclopædia of Commercial and Business Anecdotes’ from 1865.";"The earliest known use of the term Business Intelligence is in Richard Millar Devens’ in the ‘Cyclopædia of Commercial and Business Anecdotes’ from 1865.";;;;;;1865;;;;
180;"Devens used the term to describe how the banker, Sir Henry Furnese, gained profit by receiving and acting upon information about his environment, prior to his competitors. ";;;;;;;;;;;
181;"“Throughout Holland, Flanders, France, and Germany, he maintained a complete and perfect train of business intelligence. ";;;;;;;;;;;
182;"The news of the many battles fought was thus received first by him, and the fall of Namur added to his profits, owing to his early receipt of the news.” (Devens, (1865), p. 210)";"The news of the many battles fought was thus received first by him, and the fall of Namur added to his profits, owing to his early receipt of the news.” (Devens, (1865), p. 210)";;;;;;1865;;;;
183;"The ability to collect and react accordingly based on the information retrieved, an ability that Furnese excelled in, is today still at the very heart of BI.";;;;;;;;;;;
184;"In a 1958 article, IBM researcher Hans Peter Luhn used the term business intelligence.";"In a 1958 article, IBM researcher Hans Peter Luhn used the term business intelligence.";;;;;;1958;;;;
185;"He employed the Webster's dictionary definition of intelligence: ""the ability to apprehend the interrelationships of presented facts in such a way as to guide action towards a desired goal.";;;;;;;;;;;
186;"Business intelligence as it is understood today is said to have evolved from the decision support systems (DSS) that began in the 1960s and developed throughout the mid-1980s.";"Business intelligence as it is understood today is said to have evolved from the decision support systems (DSS) that began in the 1960s and developed throughout the mid-1980s.";;;;;;1960;;;1980;
187;"DSS originated in the computer-aided models created to assist with decision making and planning.";;;;;;;;;;;
188;"From DSS, data warehouses, Executive Information Systems, OLAP and business intelligence came into focus beginning in the late 80s.";"From DSS, data warehouses, Executive Information Systems, OLAP and business intelligence came into focus beginning in the late 80s.";;;;;;1980;;;;
189;"In 1989, Howard Dresner (later a Gartner analyst) proposed ""business intelligence"" as an umbrella term to describe ""concepts and methods to improve business decision making by using fact-based support systems.""";"In 1989, Howard Dresner (later a Gartner analyst) proposed business intelligence as an umbrella term to describe concepts and methods to improve business decision making by using fact-based support systems.";;;;;;1989;;;;
190;"It was not until the late 1990s that this usage was widespread.";"It was not until the late 1990s that this usage was widespread.";;;;;;1990;;;;
191;"FOKUS was founded in 1988 as a research establishment for Open Communication Systems and an institute of the former Gesellschaft für Mathematik und Datenverarbeitung GmbH (GMD).";"FOKUS was founded in 1988 as a research establishment for Open Communication Systems and an institute of the former Gesellschaft für Mathematik und Datenverarbeitung GmbH (GMD).";;;;;;1988;;;;
192;"Since the merger of GMD with Fraunhofer in July 2001, FOKUS has been an institute of the Fraunhofer Society.";"Since the merger of GMD with Fraunhofer in July 2001, FOKUS has been an institute of the Fraunhofer Society.";;;;;7;2001;;;;
193;"In 2012, the three ICT institutes FOKUS, FIRST and ISST Berlin were brought together under the name of Fraunhofer FOKUS.";"In 2012, the three ICT institutes FOKUS, FIRST and ISST Berlin were brought together under the name of Fraunhofer FOKUS.";;;;;;2012;;;;
194;"In October 2014, Prof. Dr. Manfred Hauswirth was appointed Director of the Fraunhofer Institute for Open Communication Systems FOKUS in Berlin.";"In October 2014, Prof. Dr. Manfred Hauswirth was appointed Director of the Fraunhofer Institute for Open Communication Systems FOKUS in Berlin.";;;;;10;2014;;;;
195;"On 1 January 2015 Prof. Dr. Ina Schieferdecker was appointed to the institute's board.";"On 1 January 2015 Prof. Dr. Ina Schieferdecker was appointed to the institute's board.";;;;1;1;2015;;;;
196;"Fraunhofer FOKUS develops vendor-neutral solutions for ICT systems.";;;;;;;;;;;
197;"The institute evaluates how information and communication systems can contribute to making life in society more comfortable and more secure.";;;;;;;;;;;
198;"It also carries out research into some of the key challenges to social development and the smart cities of the future, such as access to information, the sustainable and efficient use of resources, networked mobility and a modern public administration system.";;;;;;;;;;;
199;"Research activities focus on interoperable, user-centered domain- and inter-organizational solutions.";;;;;;;;;;;
200;"Fraunhofer FOKUS studies both technical infrastructures and the development of practice-oriented concepts, prototypes and applications in the precompetitive environment.";;;;;;;;;;;
201;"The research undertaken by Fraunhofer FOKUS builds bridges between companies, the public sector, users and citizens.";;;;;;;;;;;
202;"The Session Initiation Protocol (SIP), for example, which has become the standard for Voice over IP and Internet telephony, was originally developed at Fraunhofer FOKUS.";;;;;;;;;;;
203;"Fraunhofer FOKUS also played a significant role in the introduction of the new ID card in Germany in 2010:";"Fraunhofer FOKUS also played a significant role in the introduction of the new ID card in Germany in 2010:";;;;;;2010;;;;
204;"Five years after the pioneering flight of the Wright brothers on 17 December 1903, Thomas Selfridge became the first fatality of powered flight while flying as a passenger with Orville Wright during a demonstration of the Wright Model A at Fort Myer, Virginia, on 17 September 1908.";"Five years after the pioneering flight of the Wright brothers on 17 December 1903, Thomas Selfridge became the first fatality of powered flight while flying as a passenger with Orville Wright during a demonstration of the Wright Model A at Fort Myer, Virginia, on 17 September 1908.";;;;17;12;1903;17;9;1908;
205;"Eugène Lefebvre was the first pilot killed in a power airplane in 1909, while the first fatal mid-air collision occurred on 19 June 1912, near Douai, France, killing the pilot of each aircraft.";"Eugène Lefebvre was the first pilot killed in a power airplane in 1909, while the first fatal mid-air collision occurred on 19 June 1912, near Douai, France, killing the pilot of each aircraft.";;;;;;1909;;;;
206;"Since the deaths of these early aviation pioneers, the scale of fatal aircraft accidents has grown parallel to the size and capacity of airplanes (the highest capacity passenger aircraft currently flying is the Airbus A380 which can carry up to 853 passengers).";;;;;;;;;;;
207;"The first aviation incident to result in over 50 fatalities did not involve an airplane.";;;;;;;;;;;
208;"On 21 December 1923, the Dixmude, a rigid airship of the French navy, was reportedly struck by lightning and crashed into the Mediterranean, off Sicily, Italy.";"On 21 December 1923, the Dixmude, a rigid airship of the French navy, was reportedly struck by lightning and crashed into the Mediterranean, off Sicily, Italy.";;;;21;12;1923;;;;
209;"All 52 crew and passengers were killed.";;;;;;;;;;;
210;"Nearly 10 years later, the USS Akron, also a rigid airship, encountered severe weather and crashed into the Atlantic Ocean, off Barnegat Light, New Jersey, killing 73 of those on board.";"Nearly 10 years later, the USS Akron, also a rigid airship, encountered severe weather and crashed into the Atlantic Ocean, off Barnegat Light, New Jersey, killing 73 of those on board.";;;;;;1933;;;;
211;"It was another decade before a fixed-wing aircraft incident claimed over 50 fatalities.";"It was another decade before a fixed-wing aircraft incident claimed over 50 fatalities.";;;;;;1943;;;;
212;"On 7 September 1943, a US Air Force Consolidated B-24 Liberator from the 43d Bombardment Group crashed while taking off from Jackson Airfield, near Port Moresby, Papua New Guinea.";"On 7 September 1943, a US Air Force Consolidated B-24 Liberator from the 43d Bombardment Group crashed while taking off from Jackson Airfield, near Port Moresby, Papua New Guinea.";;;;7;9;1943;;;;
213;"The crew of 11 died immediately. ";;;;;;;;;;;
214;"Another 50 people in the vicinity of the crash site who were hit by debris or suffered severe burns from ignited fuel died from their injuries within days.";;;;;;;;;;;
215;"Less than one year later, on 23 August 1944, a U.S. Army Air Forces heavy bomber crashed into the center of the village of Freckleton, England, also killing 61 people.";"Less than one year later, on 23 August 1944, a U.S. Army Air Forces heavy bomber crashed into the center of the village of Freckleton, England, also killing 61 people.";;;;23;8;1944;;;;
216;"The highest number of fatalities involving one aircraft occurred in 1985 when 520 people died in the crash of Japan Airlines Flight 123.";"The highest number of fatalities involving one aircraft occurred in 1985 when 520 people died in the crash of Japan Airlines Flight 123.";;;;;;1985;;;;
217;"The most fatalities in an aircraft collision occurred in 1977 in the Tenerife airport disaster when 583 people were killed.";"The most fatalities in an aircraft collision occurred in 1977 in the Tenerife airport disaster when 583 people were killed.";;;;;;1977;;;;
218;"The highest number of fatalities from a midair collision occurred at the Charkhi Dadri mid-air collision, to the west of New Delhi, India on 12 November 1996 when a Saudi Arabian Airlines Boeing 747-100B en route from Delhi to Dhahran, Saudi Arabia, collided with Kazakhstan Airlines Ilyushin Il-76 en route from Chimkent, Kazakhstan to Delhi, killing all 349 people on board both the planes.";"The highest number of fatalities from a midair collision occurred at the Charkhi Dadri mid-air collision, to the west of New Delhi, India on 12 November 1996 when a Saudi Arabian Airlines Boeing 747 to 100B en route from Delhi to Dhahran, Saudi Arabia, collided with Kazakhstan Airlines Ilyushin Il-76 en route from Chimkent, Kazakhstan to Delhi, killing all 349 people on board both the planes.";;;;12;11;1996;;;;
219;"The 11 September 2001 (9/11) coordinated attack of the World Trade Center claimed not only 157 passengers and crew, but an estimated additional 2,500 victims.";"The 11 September 2001 (9/11) coordinated attack of the World Trade Center claimed not only 157 passengers and crew, but an estimated additional 2,500 victims.";;;;11;9;2001;;;;
220;"In 2012, Boeing released a study of world-wide commercial jet airplane accidents between 1959 and 2011 reporting 1,798 accidents, 603 categorized as fatal, which accounted for 29,025 on-board fatalities and an additional 1,173 ground or non-commercial aircraft collision deaths.";"In 2012, Boeing released a study of world-wide commercial jet airplane accidents between 1959 and 2011 reporting 1,798 accidents, 603 categorized as fatal, which accounted for 29,025 on-board fatalities and an additional 1,173 ground or non-commercial aircraft collision deaths.";;;;;;2012;;;;
221;"The Boeing analysis suggests a decline in commercial aviation accident fatality rates toward the end of the study period.";;;;;;;;;;;
222;"Monarchs of the Muhammad Ali Dynasty reigned over Egypt from 1805 to 1953.";"Monarchs of the Muhammad Ali Dynasty reigned over Egypt from 1805 to 1953.";;;;;;1805;;;1953;
223;"Their rule also extended to Sudan throughout much of this period, as well as to the Levant, and Hejaz during the first half of the 19th century.";"Their rule also extended to Sudan throughout much of this period, as well as to the Levant, and Hejaz during the first half of the 19th century.";;;;;;1800;;;1900;
224;"The Muhammad Ali Dynasty was founded by Muhammad Ali Pasha, an Albanian commander in the expeditionary force sent by the Ottoman Empire in 1801 to dislodge the French occupation of Egypt led by Napoleon Bonaparte.";"The Muhammad Ali Dynasty was founded by Muhammad Ali Pasha, an Albanian commander in the expeditionary force sent by the Ottoman Empire in 1801 to dislodge the French occupation of Egypt led by Napoleon Bonaparte.";;;;;;1801;;;;
225;"The defeat and departure of the French left a power vacuum in Egypt, which had been an Ottoman province since the 16th century, but in which the pre-Ottoman Mamluk military caste maintained considerable power.";"The defeat and departure of the French left a power vacuum in Egypt, which had been an Ottoman province since the 16th century, but in which the pre-Ottoman Mamluk military caste maintained considerable power.";;;;;;1500;;;1600;
226;"After a three-year civil war, Muhammad Ali managed to consolidate his control over Egypt, and declared himself Khedive of the country.";;;;;;;;;;;
227;"The Ottoman Porte refused to acknowledge this title, instead recognizing Muhammad Ali by the more junior title of Wāli (meaning governor or viceroy) on 18 June 1805, making Muhammad Ali the successor to Ahmad Khurshid Pasha in that position.";"The Ottoman Porte refused to acknowledge this title, instead recognizing Muhammad Ali by the more junior title of Wāli (meaning governor or viceroy) on 18 June 1805, making Muhammad Ali the successor to Ahmad Khurshid Pasha in that position.";;;;18;6;1805;;;;
228;"In the years following his consolidation of power, Muhammad Ali extended Egypt's borders south into Sudan, and eastwards into the Arab Mashreq, particularly the Levant.";;;;;;;;;;;
229;"In 1840, his demand for hereditary control of Egypt and Sudan to be passed to his heirs and successors was accepted and confirmed by the Convention of London, but he was compelled to agree that, upon his death, control over his territories in the Mashreq would revert to the Porte.";"In 1840, his demand for hereditary control of Egypt and Sudan to be passed to his heirs and successors was accepted and confirmed by the Convention of London, but he was compelled to agree that, upon his death, control over his territories in the Mashreq would revert to the Porte.";;;;;;1840;;;;
230;"Muhammad Ali had a 43-year reign, the longest in the history of modern Egypt.";;;;;;;;;;;
231;"Called the ""father of modern Egypt,"" he is viewed as the dynasty's most important ruler, due to his massive agricultural, administrative, and military reforms.";;;;;;;;;;;
232;"His son, Ibrahim Pasha, was the shortest-reigning monarch of the dynasty.";;;;;;;;;;;
233;"The duration of his rule varies from one source to another, depending on whether or not his reign as regent is taken into account.";;;;;;;;;;;
234;"Contrary to what the short length of his reign might suggest, Ibrahim Pasha is far from being a historically negligible figure, although most of his significant achievements were made before his accession to the throne. His successor, Abbas Helmi I, a traditionalist described by Lord Cromer as ""an Oriental despot of the worst type,"" reverted many of his predecessors' reform-minded measures, and is considered the most controversial ruler of his family.";;;;;;;;;;;
235;"The legality of cannabis varies from country to country. ";;;;;;;;;;;
236;"Possession of cannabis is illegal in most countries and has been since the beginning of widespread cannabis prohibition in the late 1930s.";"Possession of cannabis is illegal in most countries and has been since the beginning of widespread cannabis prohibition in the late 1930s.";;;;;;1930;;;;
237;"However, possession of the drug in small quantities has been decriminalized in many countries and sub-national entities in several parts of the world.";;;;;;;;;;;
238;"Furthermore, possession is legal or effectively legal in the Netherlands, Uruguay, and in the US states of Colorado (Colorado Amendment 64), Oregon (Oregon Ballot Measure 91 (2014)), Alaska and Washington (Washington Initiative 502) as the federal government has indicated that it will not attempt to block enactment of legalization in those states.";"Furthermore, possession is legal or effectively legal in the Netherlands, Uruguay, and in the US states of Colorado (Colorado Amendment 64), Oregon (Oregon Ballot Measure 91 (2014)), Alaska and Washington (Washington Initiative 502) as the federal government has indicated that it will not attempt to block enactment of legalization in those states.";;;;;;2014;;;;
239;"The federal district of Washington D.C. legalized cannabis for possession and use in 2015, but was blocked by a Congressional rider from instituting commercial sales and taxation.";"The federal district of Washington D.C. legalized cannabis for possession and use in 2015, but was blocked by a Congressional rider from instituting commercial sales and taxation.";;;;;;2015;;;;
240;"Cannabis is also legal in some U.S cities such as Portland and South Portland, both of which are in Maine.";;;;;;;;;;;
241;"The United States Department of Justice is allowing all recognized Native American Reservations to regulate the legalization of cannabis, and the laws are allowed to be different from Federal and state law. ";;;;;;;;;;;
242;"On 10 December 2013, Uruguay became the first nation in the world to legalize the sale, cultivation, and distribution of cannabis.";"On 10 December 2013, Uruguay became the first nation in the world to legalize the sale, cultivation, and distribution of cannabis.";;;;10;12;2013;;;;
243;"Cannabis has been in use for thousands of years. In India and Nepal cannabis has long been used in religious rituals.";;;;;;;;;;;
244;"In India and Nepal cannabis has long been used in religious rituals.";;;;;;;;;;;
245;"Under the name cannabis, nineteenth century medical practitioners sold the drug (usually as a tincture), popularizing the word among English-speakers.";;;;;;;;;;;
246;"In 1894, the Report of the Indian Hemp Drugs Commission, commissioned by the UK Secretary of State and the government of India, was instrumental in a decision not to criminalize the drug in those countries (See Shamir and Hacker (2001) in 'further readings' below.)";"In 1894, the Report of the Indian Hemp Drugs Commission, commissioned by the UK Secretary of State and the government of India, was instrumental in a decision not to criminalize the drug in those countries (See Shamir and Hacker (2001) in 'further readings' below.)";;;;;;1894;;;;
247;"From the year 1860, different states in the US started to implement regulations for sales of Cannabis sativa.";"From the year 1860, different states in the US started to implement regulations for sales of Cannabis sativa.";;;;;;1860;;;;
248;"A 1905 Bulletin from the US Department of Agriculture lists twenty-nine states with laws mentioning cannabis.";"A 1905 Bulletin from the US Department of Agriculture lists twenty-nine states with laws mentioning cannabis.";;;;;;1905;;;;
249;"In 1925, a change of the International Opium Convention banned exportation of Indian hemp to countries that have prohibited its use.";"In 1925, a change of the International Opium Convention banned exportation of Indian hemp to countries that have prohibited its use.";;;;;;1925;;;;
250;"Importing countries were required to issue certificates approving the importation, stating that the shipment was to be used ""exclusively for medical or scientific purposes""";;;;;;;;;;;
251;"Around 1840, doctors had realized that marijuana had a medical value, therefore it was freely sold for over a century in pharmacies.";"Around 1840, doctors had realized that marijuana had a medical value, therefore it was freely sold for over a century in pharmacies.";;;;;;1840;;;;
252;"Marijuana used to be freely grown, sold, bought, and smoked in the United States up until it was criminalized in 1937.";"Marijuana used to be freely grown, sold, bought, and smoked in the United States up until it was criminalized in 1937.";;;;;;1937;;;;
253;"The Marijuana Tax Act of 1937 was the first US national law making cannabis possession illegal, with the exception of industrial or medical purposes.";"The Marijuana Tax Act of 1937 was the first US national law making cannabis possession illegal, with the exception of industrial or medical purposes.";;;;;;1937;;;;
254;"Growers of hemp products were required to purchase an annual tax stand retailers were required to purchase stamps priced at $1 per annum.";;;;;;;;;;;
255;"The name marijuana (Mexican Spanish marihuana, mariguana) is associated almost exclusively with the plant's psychoactive use.";;;;;;;;;;;
256;"The term is now well known in English largely due to the efforts of American drug prohibitionists during the 1920s and 1930s.";"The term is now well known in English largely due to the efforts of American drug prohibitionists during the 1920s and 1930s.";;;;;;1920;;;1930;
257;"Mexico officially adopted prohibition in 1925, following the International Opium Convention.";"Mexico officially adopted prohibition in 1925, following the International Opium Convention.";;;;;;1925;;;;
258;"The use of cannabis became widespread in the Western world due to the rise and influence of the counterculture that began in the late 1960s.";"The use of cannabis became widespread in the Western world due to the rise and influence of the counterculture that began in the late 1960s.";;;;;;1960;;;;
259;"In the late 1990s in California, Dennis Peron started a movement to legalize medical cannabis by opening the San Francisco Cannabis Buyers Club in 1992.";"In the late 1990s in California, Dennis Peron started a movement to legalize medical cannabis by opening the San Francisco Cannabis Buyers Club in 1992.";;;;;;1990;;;1992;
260;"The club became the headquarters for an activist movement that drafted the Compassionate Use Act, which was transformed into Proposition 215—the coalition managed to secure the passage of Proposition 215 with the support of billionaire and philanthropist George Soros in November 1996.";"The club became the headquarters for an activist movement that drafted the Compassionate Use Act, which was transformed into Proposition 215—the coalition managed to secure the passage of Proposition 215 with the support of billionaire and philanthropist George Soros in November 1996.";;;;;11;1996;;;;
